"DATE","BTC"
12/01/2018,13138.43
13/01/2018,13874.01
14/01/2018,14191.06
15/01/2018,13623.61
16/01/2018,13571.21
17/01/2018,11504.56
18/01/2018,11033.58
19/01/2018,11274.29
20/01/2018,11561.56
21/01/2018,12739.89
22/01/2018,11553.79
23/01/2018,10797.45
24/01/2018,10854.93
25/01/2018,11382.11
26/01/2018,11141.34
27/01/2018,11122.14
28/01/2018,11417.62
29/01/2018,11677.52
30/01/2018,11157.56
31/01/2018,9976.43
01/02/2018,10162.78
02/02/2018,9002.8
03/02/2018,8822.06
04/02/2018,9184.39
05/02/2018,8242.03
06/02/2018,7003.06
07/02/2018,7744.27
08/02/2018,7655.3
09/02/2018,8218.58
10/02/2018,8750.99
11/02/2018,8508.35